idx,input,output
0,"경상북도,(초전면),Seongju-gun,Mundeok-ro,291-11",경상북도 성주군 문덕로 291-11 (초전면)
1,"151-7, , Bunhwang 1-gil, Sangju-si, 경상북도",경상북도 상주시 분황1길 151-7 (낙동면)
2,", Suseo Police Station 16-2, 개명안길, 고흥군, Jeollanam-do, (대서면)",전라남도 고흥군 개명안길 16-2 (대서면)
3, 198-0 버그내1길 Chungcheongnam-do 100% OFFICE (합덕읍),충청남도 당진시 버그내1길 198-0 (합덕읍)
4,"3064-0, 문앞 북원로, 원주시, Gangwon-do",강원특별자치도 원주시 북원로 3064-0 (소초면)
5,"Gyeongsangnam-do, 밀양시, , 83-5, (상동면)",경상남도 밀양시 고정2길 83-5 (상동면)
6,"11-0, , 보석로12번길, Seo-gu, 인천광역시",인천광역시 서구 보석로12번길 11-0 (청라3동)
7,"Chungcheongbuk-do,(괴산읍),Goesan-gun,읍내로13길,68-0 아이가 자고 있어요.",충청북도 괴산군 읍내로13길 68-0 (괴산읍)
8,"Baekdong-ro 19beon-gil, 133-61, Gyeonggi-do, 연천군",경기도 연천군 백동로19번길 133-61 (미산면)
9,"충청북도, 충주시, Suseo Police Station , 19-0, (대소원면)",충청북도 충주시 독정3길 19-0 (대소원면)
10,"우시장1길,3-0,,횡성군,Gangwon-do,(횡성읍)",강원특별자치도 횡성군 우시장1길 3-0 (횡성읍)
11,대전광역시-Jung-gu-학고개로57번길-36-0-(석교동) @KIM,대전광역시 중구 학고개로57번길 36-0 (석교동)
12, 14-0 Hangjae-ro gonggeun 2-gil 강원특별자치도 (공근면),강원특별자치도 횡성군 항재로공근2길 14-0 (공근면)
13,"부산광역시,(서제3동),Geumjeong-gu,서동시장길,48-18 *^^*",부산광역시 금정구 서동시장길 48-18 (서제3동)
14, 32-0 Daeyong-gil Jeollanam-do (다시면),전라남도 나주시 대용길 32-0 (다시면)
15,"Geumchon-ro, 문앞 84-93, Gangwon-do, Chuncheon-si",강원특별자치도 춘천시 금촌로 84-93 (동내면)
16,"55-0, , 영장로4길, Yeonggwang-gun, Jeollanam-do",전라남도 영광군 영장로4길 55-0 (대마면)
17,이음& 경상남도-9-6-Jangyu-ro 416beon-gil-김해시-경상남도,경상남도 김해시 장유로416번길 9-6 (장유1동)
18, 84-16 천안시 동남구 A동 충청남도,충청남도 천안시 동남구 매송5길 84-16 (북면)
19, 이음& 20-12 Sungindong 1na-gil 서울특별시 (숭인제2동),서울특별시 종로구 숭인동1나길 20-12 (숭인제2동)
20,", 42-0, Aeryeon-ro 2an-gil, 제천시, 충청북도, (백운면)",충청북도 제천시 애련로2안길 42-0 (백운면)
21,"남원시,131-0,노봉길",전라북도 남원시 노봉길 131-0 (사매면)
22,"경상북도, 청송군, 100,1001 김&장 customer office , 146-0, (진보면)",경상북도 청송군 진보로 146-0 (진보면)
23,", 39-0, Suyeong Tax Office Building파란건물 Docheongsinwol-ro, 장흥군, Jeollanam-do, (대덕읍)",전라남도 장흥군 도청신월로 39-0 (대덕읍)
24,"충청남도,(선장면),Asan-si,Sapgyocheon-ro 136beon-gil,18-8",충청남도 아산시 삽교천로136번길 18-8 (선장면)
25,"전라남도, 함평군, 1001ho1001동 , 14-59, (해보면)",전라남도 함평군 발미길 14-59 (해보면)
26,"77-0  Dongnam-gu, Cheonan-si 충청남도",충청남도 천안시 동남구 매송1길 77-0 (북면)
27,customs office 100% Jeollanam-do-고흥군-하반로-34-0-(봉래면),전라남도 고흥군 하반로 34-0 (봉래면)
28,"Jeollanam-do,(서강동),여수시,서교1길,13-9 ^",전라남도 여수시 서교1길 13-9 (서강동)
29,"Pyeongchang-gun,125-0,대화중앙로",강원특별자치도 평창군 대화중앙로 125-0 (대화면)
30,"42-0, 방산가마터길, Siheung-si, 경기도",경기도 시흥시 방산가마터길 42-0 (신현동)
31,"노문래길, 12-4, 전라남도, Muan-gun",전라남도 무안군 노문래길 12-4 (해제면)
32,Seoul-Gangseo-gu-강서로45다길-30-6-(화곡제3동) 아이가 자고 있어요.,서울특별시 강서구 강서로45다길 30-6 (화곡제3동)
33,"Incheon,12-0,청라에메랄드로102번길,Seo-gu,Incheon",인천광역시 서구 청라에메랄드로102번길 12-0 (청라1동)
34,"Iksan-si,23-0,동산동길",전라북도 익산시 동산동길 23-0 (웅포면)
35,"Gangwon-do,(삼수동),태백시,광장로,9-17",강원특별자치도 태백시 광장로 9-17 (삼수동)
36,"74-3, Sabukjungang-ro, Jeongseon-gun, 강원특별자치도",강원특별자치도 정선군 사북중앙로 74-3 (사북읍)
37,"181-0, , 늠바위길, 포천시, 경기도",경기도 포천시 늠바위길 181-0 (이동면)
38, 188-6 100% Yeonggwang-gun 전라남도,전라남도 영광군 칠산로 188-6 (염산면)
39,Gyeongsangbuk-do-90-0-구미중앙로-Gumi-si-Gyeongsangbuk-do,경상북도 구미시 구미중앙로 90-0 (원평동)
40,"33-1, 관기길, Hapcheon-gun, Gyeongsangnam-do",경상남도 합천군 관기길 33-1 (묘산면)
41,"Gyeongsangnam-do,1314-2,서부로,합천군,Gyeongsangnam-do",경상남도 합천군 서부로 1314-2 (가회면)
42,"Jiam 4-gil, 6-6, 충청북도, Jincheon-gun",충청북도 진천군 지암4길 6-6 (진천읍)
43,"2710-28, 문앞 중부대로, 여주시, Gyeonggi-do",경기도 여주시 중부대로 2710-28 (세종대왕면)
44,강원특별자치도-Hongcheon-gun-Cheoljeong-gil-138-8-(두촌면) 100% office,강원특별자치도 홍천군 철정길 138-8 (두촌면)
45,"customs office 100% 65-6, 대산길, Haenam-gun, Jeollanam-do",전라남도 해남군 대산길 65-6 (옥천면)
46,"고양시 일산서구,57-8,송포백송길",경기도 고양시 일산서구 송포백송길 57-8 (덕이동)
47,"MUN AP 정읍시,9-0,통석길",전라북도 정읍시 통석길 9-0 (감곡면)
48,"$달러샵$ 731-5, Wolha-ro, Gimpo-si, Gyeonggi-do",경기도 김포시 월하로 731-5 (하성면)
49,경기도-233-0-북한강변로-Gapyeong-gun-경기도,경기도 가평군 북한강변로 233-0 (가평읍)
50,", 23-0, Waryong 3-gil, Gimje-si, Jeollabuk-do, (용지면)",전라북도 김제시 와룡3길 23-0 (용지면)
51,"284-0, 동곡로, 광산구, 광주광역시 Suseo Police Station",광주광역시 광산구 동곡로 284-0 (동곡동)
52,"54-0, Daegok 2-gil, Seosan-si, Chungcheongnam-do",충청남도 서산시 대곡2길 54-0 (해미면)
53,"지하&상가 경기도,(양감면),화성시,Podang-gil,18-0",경기도 화성시 포당길 18-0 (양감면)
54,충청북도-13-17-Yangsu-ro 4-gil-Okcheon-gun-충청북도,충청북도 옥천군 양수로4길 13-17 (옥천읍)
55,"A동 충청남도, Dangjin-si, , 31-9, (합덕읍)",충청남도 당진시 상동2길 31-9 (합덕읍)
56,"50-9, 이음& Gyeongin-ro, Bucheon-si, 경기도",경기도 부천시 경인로 50-9 (대산동)
57,"Gyeongsangbuk-do, 상주시, , 29-0, (동성동)",경상북도 상주시 성동로 29-0 (동성동)
58,"비자길,53-3,,Wando-gun,전라남도,(소안면)",전라남도 완도군 비자길 53-3 (소안면)
59,", 6-2, Mandeok-ro 1-gil, 제주시, 제주특별자치도, (건입동)",제주특별자치도 제주시 만덕로1길 6-2 (건입동)
60, 42-0 주암길 경상북도 (단북면) ^,경상북도 의성군 주암길 42-0 (단북면)
61,"경기도,97-0,Seokdong-ro 161beon-gil,Icheon-si,경기도",경기도 이천시 석동로161번길 97-0 (신둔면)
62,"Gyeongsangnam-do,(주상면),거창군,빼재로,1167-41",경상남도 거창군 빼재로 1167-41 (주상면)
63,"Saengyeon-ro, 104-1, Gyeonggi-do, 지하&상가 동두천시",경기도 동두천시 생연로 104-1 (생연2동)
64,Gyeonggi-do-1286-5-Seohae-ro-Hwaseong-si-Gyeonggi-do,경기도 화성시 서해로 1286-5 (팔탄면)
65,"전라북도,(입암면),Jeongeup-si,Songjeong-gil,11-20",전라북도 정읍시 송정길 11-20 (입암면)
66,"20-0, Wonsangdae-gil, Goheung-gun, Jeollanam-do",전라남도 고흥군 원상대길 20-0 (포두면)
67,Gangwon-do-양양군-매호길-8-0-(현남면),강원특별자치도 양양군 매호길 8-0 (현남면)
68,"100,1001 김&장 customer office Chungcheongnam-do-7-15-해월로123번길-논산시-Chungcheongnam-do",충청남도 논산시 해월로123번길 7-15 (부창동)
69,"3340-0, , $달러샵$ 설악로, Hongcheon-gun, 강원특별자치도",강원특별자치도 홍천군 설악로 3340-0 (두촌면)
70,"Jeollanam-do,356-0,유탕길,Jangseong-gun,Jeollanam-do",전라남도 장성군 유탕길 356-0 (장성읍)
71,"송산로939번길,111-0,,Uijeongbu-si,경기도,(송산1동)",경기도 의정부시 송산로939번길 111-0 (송산1동)
72,"93-0, Seongmo-ro 45beon-gil, Gimpo-si, Gyeonggi-do",경기도 김포시 석모로45번길 93-0 (양촌읍)
73,경상북도-칠곡군-봉계3길-42-12-(왜관읍) 100% office,경상북도 칠곡군 봉계3길 42-12 (왜관읍)
74,"Daejeon,(오정동),Daedeok-gu,Ojeong-ro 100beon-gil,61-0",대전광역시 대덕구 오정로100번길 61-0 (오정동)
75,"예지1길, $달러샵$ 75-0, Gyeongsangbuk-do, 김천시",경상북도 김천시 예지1길 75-0 (봉산면)
76, 75-13 100% office Muan-gun Jeollanam-do,전라남도 무안군 수양촌길 75-13 (현경면)
77,51-22  Sacheon-si Gyeongsangnam-do 김&장,경상남도 사천시 병둔2길 51-22 (사남면)
78,"133-260, , Naedang-gil, Goheung-gun, 100,1001 김&장 customer office Jeollanam-do",전라남도 고흥군 내당길 133-260 (두원면)
79,"35-0, 100% office 장군산로, 서구, Busan",부산광역시 서구 장군산로 35-0 (암남동)
80, Suseo Police Station 74-0 Seongdae-ro 6ga-gil 서울특별시 (상도제3동),서울특별시 동작구 성대로6가길 74-0 (상도제3동)
81,"46-32, Sangdeok-gil, Hadong-gun, 경상남도",경상남도 하동군 상덕길 46-32 (화개면)
82,"63-0, Geumgwan-ro bukgye-gil, 괴산군, Chungcheongbuk-do",충청북도 괴산군 금관로북계길 63-0 (청천면)
83,"49-24, 1001ho1001동 Yanghwabuk-ro 62beon-gil, 부여군, 충청남도",충청남도 부여군 양화북로62번길 49-24 (양화면)
